age;music;signal;km;price
5.000;no;yes;60.000;1800.000
1.000;no;yes;13.000;2600.000
4.000;no;yes;52.000;1700.000
2.000;yes;no;48.000;2000.000
4.000;no;yes;40.000;1800.000
2.000;yes;no;30.000;2100.000
2.000;no;yes;27.000;1950.000
3.000;no;no;35.000;2300.000
5.000;yes;yes;130.000;1300.000
5.000;no;yes;75.000;1700.000
3.000;no;no;38.000;1800.000
2.000;yes;yes;40.000;2200.000
5.000;yes;yes;85.000;1500.000
0.000;no;yes;0.700;4300.000
6.000;no;no;38.000;2000.000
2.000;no;no;80.000;1800.000
6.000;yes;no;103.000;1400.000
4.000;no;no;56.000;1650.000
6.000;yes;yes;78.000;1500.000
4.000;no;no;35.000;1950.000
1.000;no;yes;17.000;2650.000
6.000;yes;yes;76.000;1350.000
3.000;yes;no;33.000;1800.000
3.000;yes;yes;31.000;2200.000
3.000;yes;yes;75.000;2100.000
4.000;yes;yes;66.000;1800.000
3.000;no;yes;33.000;1700.000
3.000;yes;yes;58.000;1900.000
4.000;yes;yes;50.000;2000.000
1.000;yes;no;14.000;2600.000
5.000;yes;no;3.000;1600.000
2.000;yes;yes;40.000;2200.000
7.000;yes;no;50.000;900.000
5.000;yes;no;51.000;1500.000
4.000;yes;yes;46.000;1600.000
4.000;yes;no;80.000;1850.000
0.000;no;no;1.500;2600.000
9.000;yes;yes;65.000;1300.000
1.000;yes;yes;4.700;2800.000
2.000;yes;yes;40.000;2400.000
0.000;no;no;0.000;2750.000
8.000;no;no;87.000;1200.000
8.000;yes;yes;71.000;2100.000
6.000;no;no;84.000;1700.000
9.000;yes;yes;87.000;1500.000
7.000;no;no;71.000;1500.000
5.000;yes;yes;50.000;2400.000
6.000;yes;yes;77.000;2200.000
9.000;no;no;95.000;1600.000
7.000;yes;yes;70.000;1900.000
4.000;yes;yes;44.000;2300.000
3.000;no;yes;16.000;3500.000
6.000;no;yes;82.000;1900.000
5.000;no;yes;110.000;1700.000
1.000;no;no;15.000;3500.000
2.000;no;yes;20.000;2600.000
3.000;no;yes;60.000;2800.000
1.000;no;no;0.000;3500.000
5.000;no;yes;18.000;3000.000
2.000;no;yes;16.000;4500.000
